拼音,汉字
yin,因音引印阴银饮隐荫窨胤瘾蚓吲尹鄞寅淫龈垠吟殷喑姻茵洇烟铟氤茚夤霪湮堙狺圻
ying,英婴应影迎映莹萦硬樱营颖瀛嬴蝇楹盈滢蓥萤荧茔鹰膺罂鹦缨嘤撄莺瑛赢颍瘿璎荥郢媵潆
yo,哟育唷
yong,用永勇泳拥喁踊蛹恿涌俑甬咏臃壅雍庸邕痈佣饔镛慵鳙墉场
you,有优游由悠右尤忧油友又幽幼犹诱鼬釉柚佑黝莠酉莜铀邮鱿疣呦攸侑铕宥囿蚰尢蝣蚴蝤猷牖鼢卣莸繇
yu,遇域育鱼玉语预雨于与予誉余吁愉欲寓裕羽娱郁狱圄熨毓御愈喻谕豫煜昱妪浴峪聿芋驭钰禹宇伛屿舆虞榆瑜渝逾俞愚隅禺於渔萸谀臾馀妤竽盂瘀淤纡迂欤狳雩蓣龉谷鹆蝓揄觎嵛窬俣喁尉蔚鹬腴庾瘐燠窳菀蜮圉鬻阈舁饫畲粥
yuan,圆园远院愿原源员元援渊怨缘瑗垸苑橼塬辕猿袁媛爰垣鼋沅芫冤螈掾箢眢鸳鸢圜
yue,阅月跃越约悦钥粤岳曰刖樾乐栎说钺瀹龠哕
yun,允匀运孕云晕蕴耘殒韵韫愠郓酝陨纭芸员郧恽氲狁均昀筠熨
za,杂砸咋咱咂匝扎拶
zai,在灾再载崽宰栽哉甾仔
zan,赞瓒錾暂趱攒昝拶簪咱糌
zang,脏奘葬驵臧赃藏
zao,遭造糟早躁燥噪灶唣皂藻澡蚤枣凿缲
ze,责则择笮昃仄泽啧侧赜帻箦咋舴迮
zei,贼
zen,怎谮
zeng,增曾甑赠缯锃憎罾综
zha,扎喳炸眨栅榨蚱痄诈乍铡闸轧札渣吒蜡咋柞砟查楂揸齄咤喋哳
zhai,摘寨债窄宅斋翟祭瘵砦侧择
zhan,展战站盏湛崭蘸绽栈辗搌斩瞻谵詹毡沾占粘颤旃
zhang,张账章杖掌仗丈障涨瘴幛嶂胀帐蟑樟嫜漳彰獐长璋鄣仉
zhao,找照爪肇罩棹笊赵兆诏召沼昭招钊着朝嘲啁
zhe,这着折者辙蛰鹧蔗浙柘褶赭锗谪辄哲遮蜇磔
zhei,这
zhen,震真针阵珍振镇诊朕赈鸩圳缜枕疹畛箴甄斟臻榛蓁砧胗桢侦贞稹轸祯浈帧溱椹
zheng,争证正郑政整征挣症峥诤拯蒸筝铮睁狰怔帧钲丁鲭
zhi,知只之枝职志质纸致置指至支植治织值制智直挚止执脂桎稚雉滞掷陟痔峙栉炙秩帙帜痣膣蛭窒郅酯旨咫枳趾祉芷址跖侄殖埴絷蜘汁栀祗肢吱芝轾识轵忮踬踯彘骘贽鸷黹豸徵摭胝觯卮瘛氏
zhong,终中众重种钟衷肿仲踵冢盅忠舯锺忪螽
zhou,周皱骤昼胄宙咒绉纣帚肘轴妯粥诌洲州舟啁酎荮籀碡繇
zhu,主柱筑著助注瞩拄住逐诸祝珠竹烛猪朱铸箸翥杼蛀炷驻贮伫嘱煮舳竺潴蛛铢株茱诛侏疰渚褚槠术橥洙邾属躅苎麈瘃
zhua,抓爪挝
zhuai,拽转
zhuan,转砖专赚篆馔撰啭颛传沌
zhuang,壮装状撞僮桩庄妆幢奘戆
zhui,追椎缀赘缒惴坠锥骓隹
zhun,谆准肫屯窀
zhuo,茁桌捉琢擢啄镯浊卓酌灼涿焯倬拙着诼濯浞禚斫缴
zi,子自字资仔滋姿梓渍恣滓訾紫秭姊籽辎淄孳兹咨龇孜耔粢谘趑嵫鲻锱缁吱眦呲茈赀觜髭笫
zong,总综宗踪粽纵鬃棕枞腙偬
zou,走奏揍诹驺邹陬鲰鄹
zu,祖族组足租俎阻诅卒菹镞
zuan,钻攥纂缵赚躜
zui,最嘴醉罪蕞觜咀
zun,尊遵撙樽鳟
zuo,作做座左昨坐唑祚柞怍佐嘬胙阼笮撮琢凿
